ダウンロードした時刻：2022/07/13 21:39:47

,福井,福井,福井,福井,福井,福井
年月日,天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時)
,,品質情報,均質番号,,品質情報,均質番号
2019/1/1,晴一時曇後雨、みぞれを伴う,8,1,雨後一時あられ,8,1
2019/1/2,雨時々曇後一時晴,8,1,雨一時曇後みぞれ、あられを伴う,8,1
2019/1/3,曇時々雨一時みぞれ、あられを伴う,8,1,曇後一時晴,8,1
2019/1/4,晴一時曇,8,1,曇後雨,8,1
2019/1/5,雨後時々曇,8,1,雨時々曇一時雪,8,1
2019/1/6,曇時々雨、みぞれを伴う,8,1,曇時々雨、みぞれを伴う,8,1
2019/1/7,曇時々晴一時みぞれ、あられを伴う,8,1,曇時々雨,8,1
2019/1/8,曇時々雨一時晴,8,1,曇時々雨一時みぞれ、あられを伴う,8,1
2019/1/9,曇時々雪,8,1,晴,8,1
2019/1/10,曇後一時雨,8,1,雨時々曇、あられを伴う,8,1
2019/1/11,晴時々曇一時雨,8,1,晴後時々薄曇,8,1
2019/1/12,曇,8,1,晴,8,1
2019/1/13,晴,8,1,晴時々曇一時雨,8,1
2019/1/14,晴一時曇,8,1,晴後一時薄曇,8,1
2019/1/15,曇時々雨,8,1,雨時々曇,8,1
2019/1/16,雨一時曇、あられを伴う,8,1,曇時々雨一時雪、あられを伴う,8,1
2019/1/17,雨後一時曇、あられを伴う,8,1,雨後曇、雷・あられを伴う,8,1
2019/1/18,曇時々みぞれ、あられを伴う,8,1,曇時々雨、みぞれを伴う,8,1
2019/1/19,晴後曇一時雨,8,1,曇一時雨,8,1
2019/1/20,雨後時々曇,8,1,雨時々曇一時みぞれ、あられを伴う,8,1
2019/1/21,みぞれ後雨時々曇、あられを伴う,8,1,曇時々雨、雷・あられを伴う,8,1
2019/1/22,雨後晴一時曇、あられを伴う,8,1,晴時々曇一時雨,8,1
2019/1/23,雨時々曇、あられを伴う,8,1,雨時々曇、雷・あられを伴う,8,1
2019/1/24,曇時々雪一時雨、みぞれを伴う,8,1,曇時々みぞれ,8,1
2019/1/25,晴一時みぞれ後曇時々雨,8,1,雨時々曇後みぞれ、あられを伴う,8,1
2019/1/26,雪時々曇、あられを伴う,8,1,雪時々曇一時晴、あられを伴う,8,1
2019/1/27,雪後曇一時雨、あられを伴う,8,1,薄曇一時晴,8,1
2019/1/28,曇後雨、雷を伴う,8,1,雨時々曇後雪、雷・あられを伴う,8,1
2019/1/29,曇時々雪一時雨、みぞれを伴う,8,1,晴時々曇一時霧,8,1
2019/1/30,薄曇後晴,8,1,曇一時晴,8,1
2019/1/31,雨,8,1,曇時々雨一時雪,8,1
