A,B,C,D,E,F,G,H,I,J,K,L,M
2719.822629,0,101103.1688,99811.14498,0.478286179,0.350237982,287.2640239,92.95256786,10.21104798,22.57109782,0,0,22.41542481
2620.339314,0,101089.4041,99796.80968,0.595057438,0.314566056,287.0953475,92.99000904,10.60023651,19.23929547,0,0,17.65480429
2602.070002,0,101075.6473,99782.48287,0.711832316,0.278949485,286.926698,93.02733081,10.98946493,15.90894959,0,0,12.97652261
2633.91066,0,101076.0002,99783.42111,0.83511838,0.342917379,286.8065509,92.84983963,11.45045552,15.19879606,0,0,28.38787365
2735.110646,0,101076.3529,99784.35867,0.958324491,0.406851801,286.6863744,92.67248671,11.91097059,14.48812791,0,0,21.42784667
2828.705744,0,101076.3235,99784.09103,0.937693515,0.410570669,286.5132273,92.7438573,11.51603795,12.85165997,0,0,49.01749753
2940.120052,-4.55E-13,101076.2988,99783.82776,0.917019734,0.414390852,286.3400647,92.81507922,11.12086196,11.21516211,0,0,57.53229822
2984.08085,0,101084.6517,99791.43952,0.819340378,0.600478079,286.1388,92.61884392,10.28791372,9.524851233,0,0,31.74000554
2972.138362,8.463708072,101093.005,99799.05187,0.721659867,0.786499681,285.937558,92.42250356,9.454420555,7.834437026,0.000654234,0,45.81356885
2945.203887,16.92741614,101102.0933,99807.71069,0.621902105,0.85446372,285.7773227,92.03714179,7.640595908,5.958143203,1.178274822,0,99.50659364
2842.113035,199.4823022,101111.185,99816.37305,0.522203383,0.922428631,285.6175745,91.65015678,5.82685025,4.082243516,2.355478933,0,174.6783815
2737.895236,382.0371882,101126.5674,99831.39658,0.52871548,0.991964366,286.3340451,88.34295384,4.155205779,2.915395845,2.783440698,0,290.5256092
2648.909702,783.8502225,101141.946,99846.41755,0.535280364,1.061451113,287.0508164,85.03426528,2.484317666,1.7488717,3.217151737,0,352.1265246
2589.904769,1185.663257,101150.7108,99856.82343,0.636810232,1.042806554,288.3085811,79.05295352,2.174115724,1.164369906,13.99380762,0,526.416289
2530.286132,1669.371711,101159.4695,99867.22445,0.73848646,1.024120723,289.5661234,73.07246497,1.864096489,0.580079541,24.77383041,0,974.7349667
2569.196306,2153.24236,101157.4695,99868.87445,1.103464165,0.931186679,290.4236234,68.57294733,1.882765489,0.376150388,41.61091864,0,1046.539864
2582.421716,2659.625491,101155.4684,99870.52227,1.46840886,0.838269733,291.2809622,64.07449769,1.901322792,0.172296632,58.44058133,0,575.7690634
2635.508617,3165.868964,101151.5567,99868.26051,1.773965983,0.776112954,291.8481975,61.49740063,1.718935942,0.104080899,61.91168398,0,546.9730827
2749.790158,3583.246952,101147.6458,99866.00002,2.079473255,0.713948448,292.4153848,58.9208382,1.53703498,0.036003194,65.38138322,0,454.0328215
2823.854376,4000.588365,101145.3222,99866.04414,2.295297755,0.637884419,292.8962966,57.30607644,2.229247271,0.216236368,66.32634822,0,53.00957467
2861.28129,4270.607287,101142.9921,99866.08063,2.511007954,0.561766284,293.3771679,55.69154801,2.920952132,0.396363029,67.27326076,0,7.101978984
2900.435752,4540.629866,101128.8157,99852.38357,2.52109016,0.388312634,293.7853444,54.49679213,2.699788926,0.384874032,71.72380193,0,19.85523659
2917.730552,4648.636014,101114.6344,99838.68267,2.531179544,0.214864172,294.1934501,53.30246478,2.478594603,0.373400992,76.17381733,0,21.98093496
2932.932447,4756.842476,101091.8991,99818.07384,2.554181514,0.050749063,294.4743031,52.87907655,2.201420467,0.390634521,79.67795262,0,35.76455508
2884.151537,4618.499328,101069.1682,99797.46862,2.577184002,-0.113379105,294.7550664,52.45605815,1.924279844,0.407814994,83.18001751,0,10.46270422
2824.114354,4480.168986,101054.1976,99783.33627,2.601116266,-0.301000493,294.874537,52.69836991,1.707426694,0.329546344,82.95742045,0,18.35657612
2836.181954,4233.304212,101039.2384,99769.21472,2.625057643,-0.488500805,294.9939205,52.9408071,1.490722741,0.251370643,82.73491594,0,21.28699941
