1,2,3,4,5,6,7,8,9,10
12,2884.2,4618.5,2.5772,-0.11338,294.76,52.456,83.18,0,0.46926
12.5,2824.1,4480.2,2.6011,-0.301,294.87,52.698,82.957,0,-4.7516
13,2836.2,4233.3,2.6251,-0.4885,294.99,52.941,82.735,0,17.768
13.5,2867.6,3986.6,2.6654,-0.45818,294.96,53.409,82.679,0,1.5545
14,2865.5,3629.8,2.7057,-0.42786,294.92,53.877,82.619,0,-14.85
14.5,2857,3273.3,2.6501,-0.37339,294.75,54.713,74.987,0,266.07
15,2844.8,2796.4,2.5945,-0.31892,294.57,55.549,67.364,0,564.99
12,2605.5,2822,0.013957,-1.321,296.22,47.263,92.794,0,294.61
12.5,2610.3,2724.8,-0.056993,-1.3254,296.25,47.501,93.496,0,873.6
13,2588.2,2486.8,-0.12794,-1.3297,296.28,47.739,94.198,0,813.48
13.5,2585.7,2248.9,-0.19659,-1.2826,296.18,47.917,93.676,0,741.52
14,2561.5,1992.3,-0.26526,-1.2354,296.08,48.096,93.156,0,401.46
14.5,2591.9,1735.6,-0.38579,-1.1204,295.88,49.026,94.283,0,-27.854
15,2617.4,1477.6,-0.50625,-1.0054,295.67,49.956,95.409,0,-10.778
12,3692.5,3662.3,0.2242,-2.1676,297.19,54.674,22.973,0,41.196
12.5,3548,3606.3,0.20689,-2.2254,297.05,54.476,28.866,0,-18.864
13,3663,3442.6,0.18954,-2.2833,296.91,54.278,34.753,0,-11.065
13.5,3796.5,3279.4,0.098294,-2.2806,296.69,54.087,27.956,0,379.19
14,3814.2,2979.7,0.0069787,-2.2779,296.46,53.895,21.164,0,557.48
14.5,3817.8,2679.9,-0.19949,-2.2411,296.2,54.312,23.288,0,454.2
15,3797.6,2314.3,-0.40588,-2.2042,295.94,54.729,25.413,0,462.37
12,3919.1,3698.8,1.604,-0.39582,299.77,49.169,76.744,0,401.73
12.5,3750.4,3642,1.514,-0.52011,299.82,49.333,78.553,0,281.24
13,3861.1,3461.9,1.4239,-0.64436,299.86,49.496,80.359,0,151.43
13.5,4016.7,3282,1.269,-0.70428,299.81,50.075,79.821,0,360.11
14,4084.9,3021,1.1141,-0.76426,299.75,50.655,79.281,0,738.54
14.5,4098.7,2759.9,1.056,-0.95646,299.59,51.321,76.87,0,903.67
15,4055.8,2345.1,0.99781,-1.1486,299.43,51.988,74.461,0,634.16
12,3941.1,3578.6,3.2168,0.078785,299.44,57.615,56.686,0,422.02
12.5,3792.2,3546.8,3.299,0.017985,299.41,57.871,50.703,0,182.42
13,3929.6,3397.4,3.3812,-0.042787,299.38,58.127,44.714,0,411.73
13.5,4078,3247.9,3.3376,-0.053039,299.31,58.46,26.61,0,616.11
14,4087.5,3044.2,3.294,-0.063295,299.24,58.794,8.5158,0,828.05
14.5,4088.5,2840.5,3.2836,-0.080773,299,59.401,7.7086,0,907.65
15,4040.9,2503.5,3.2732,-0.098137,298.77,60.008,6.9013,0,894.13
12,3808.7,3770.5,1.734,-1.2077,296.58,64.326,75.108,0,303.19
12.5,3663.1,3762.2,1.5371,-1.2954,296.74,63.504,72.326,0,157.96
13,3784.1,3621.3,1.3401,-1.3831,296.91,62.681,69.543,0,223.51
13.5,3898.3,3480.8,1.0968,-1.4661,296.99,62.214,64.959,0,677.95
14,3935.5,3228.7,0.85348,-1.549,297.07,61.748,60.373,0,884.57
14.5,3933,2976.4,0.74287,-1.6012,297.03,61.758,52.242,0,834.5
15,3892.8,2610.8,0.63226,-1.6533,296.98,61.77,44.109,0,1007.2
12,3558.4,478.51,-1.4737,-0.66425,292.79,81.485,99.391,1.08,72.253
12.5,3391.6,487.44,-1.9935,-0.041276,292.66,81.39,99.529,2.026,3.9047
13,3479.8,435.39,-2.5127,0.58103,292.52,81.294,99.667,2.9719,-11.549
13.5,3595,383.34,-1.9815,-0.0025842,292.36,82.275,99.559,3.715,0.7807
14,3608.9,341.03,-1.4509,-0.5856,292.2,83.256,99.452,4.4575,0.41661
14.5,3608.2,298.72,-1.7786,-0.10821,292.16,83.816,99.65,4.0931,-12.737
15,3558.7,299.05,-2.1061,0.36886,292.11,84.374,99.848,3.7284,9.1905
12,2891.4,1740.5,0.27772,-4.152,292.46,86.552,55.58,0.55505,648.69
12.5,2822.1,1838.3,0.27361,-4.0754,292.54,85.941,54.703,0.37467,971.06
13,2846.7,1829.2,0.26946,-3.9989,292.63,85.331,53.826,0.19437,911.4
13.5,2875.7,1820.1,0.20184,-3.9206,292.64,85.274,54.858,0.15554,826.45
14,2886.7,1711.4,0.13425,-3.8423,292.65,85.217,55.887,0.11673,915.25
14.5,2863.6,1602.6,0.1224,-3.7961,292.55,85.504,54.483,0.11213,1019.3
15,2845.3,1423.7,0.11051,-3.7498,292.45,85.791,53.079,0.10753,1001.4
