Feature,1,2,3,4,5,6,7,8,9,10,11,12
S1,-28.09668794,-136.6312789,0.439434777,0.49997549,55.28015354,8.13413374,-3.262748509,9.05668826,-1.665733733,-16.12254506,4.600157589,4.195401373
S2,-31.99222061,-134.0184001,0.551078359,0.771439989,51.10593096,6.765383645,-5.46162972,7.789099857,-2.650384545,-19.49475676,4.218177468,-1.948457839
S3,-30.95796748,-132.3353747,0.812887804,1.159184733,48.46449552,5.579186058,-7.533001875,6.358126592,-3.496841318,-21.68419102,4.7294545,-8.090191889
S4,-27.18015787,-130.5748907,0.952436137,1.411637936,45.727266,4.295912249,-9.436074371,4.862124584,-3.819657581,-23.96514598,3.386251678,-14.63427153
S5,-21.03440063,-129.9329156,1.213848665,1.770903917,44.61883251,3.25199799,-11.20353298,3.011165473,-4.112881249,-24.57922956,2.680162254,-22.47587827
S6,-19.31510983,-133.0188027,2.025258265,2.615226798,45.43848457,4.00726117,-11.45484704,2.299174603,-3.848353265,-21.45659114,3.530801867,-20.03494508
S7,-15.39189943,-136.3553141,2.935851016,3.540818031,46.8467305,4.940367319,-11.46124348,1.280277901,-3.507472292,-17.98337429,4.799937109,-17.12759126
S8,-15.78092963,-137.8370138,3.312733319,3.930274606,51.77100811,5.336594475,-13.30500472,-0.199007166,-5.46320389,-17.01765756,7.980109525,-15.58135305
S9,-17.27735285,-137.776572,3.577507376,4.216275966,55.75166255,5.60230213,-15.4373436,-1.599325242,-7.370676202,-16.75311672,10.93906717,-13.65721614
S10,-22.30415364,-139.9310443,5.014727237,5.707721147,68.09002561,7.153509669,-16.85054938,-2.116197019,-8.382675522,-13.18944271,14.02307774,-5.71612983
S11,-26.76941558,-126.316659,6.305527224,7.091909021,78.41407962,7.480167367,-18.42061595,-2.74688249,-9.39941731,-10.81387488,17.10790533,0.406274196
S12,-34.96994619,-110.162574,5.706348463,6.583400132,73.73241957,5.456613189,-17.2148346,-0.318456737,-13.51672924,-12.73925174,14.92574523,4.820996848
S13,-40.81276681,-73.40609547,5.691512582,6.6500971,71.77426596,4.235662341,-15.80540413,0.916611572,-15.68730592,-16.77465502,14.46352953,8.389749905
S14,-48.37617894,-38.9065617,9.156434414,10.2074843,78.2876781,7.530687266,-11.99429812,5.291964248,-16.49062012,-20.83134788,18.75881562,8.584465818
S15,-52.06604865,17.59863452,13.29425565,14.40298477,87.16979376,11.18684872,-7.007035468,9.718848442,-17.14413159,-23.83061365,22.96740584,8.396666011
S16,-49.88068405,75.03958271,16.44481962,17.46891622,99.49577098,12.59342239,-2.735817772,12.87074767,-16.80462825,-23.79114559,29.24760188,8.350603205
S17,-47.51196498,139.683657,19.43609696,20.34918814,110.2965058,12.71910823,1.68320101,16.02995249,-15.88664044,-23.0363097,34.13030732,8.49114209
S18,-33.80265552,204.4302857,23.91280584,24.74978168,108.561351,11.44081321,6.900974998,19.27147742,-15.24412917,-19.91026964,41.46611875,9.416346173
S19,-19.54870803,283.3322241,27.91066713,28.68218356,103.1343299,10.52239987,11.15301431,22.4958988,-11.76573459,-15.63722906,48.04228219,11.14371111
S20,-13.43217881,342.2611968,31.55907338,32.01804451,73.28864501,4.943147541,14.01978094,22.00419487,-7.899973397,-13.39679949,45.40006467,11.80600643
S21,-7.886302783,376.5670268,32.49460385,32.65264953,30.93491332,-5.95401701,16.34786366,19.64050032,-2.934287483,-9.906012086,41.5196061,12.06945753
S22,-5.227949546,393.8914358,34.57106272,34.73610554,-2.318229342,-30.5770452,18.31754278,15.62292112,-2.499913069,-4.066932116,34.12440783,11.70642624
S23,-7.521195011,380.6118573,35.2794164,35.50701465,-35.66381902,-59.28649452,22.05034866,9.579905681,-3.10869475,2.836202348,28.57701886,10.91933034
S24,-8.531811098,375.4864872,38.43136822,38.61341131,-43.17326,-74.64174827,23.45863812,5.715761177,-4.230522152,11.05673321,25.64979372,10.94076046
S25,-10.53569961,360.8208658,41.29290903,41.47518737,-48.25136607,-85.07577545,24.6758182,2.289139027,-5.163846815,19.23699722,23.94215497,10.90454149
S26,-11.39954495,355.6692719,41.8847939,42.24706974,-55.21482645,-79.41471554,25.18338273,0.72060743,-4.276625806,22.91018781,26.03058152,10.73138285
