ダウンロードした時刻：2022/07/13 21:39:09

,福井,福井,福井,福井,福井,福井
年月日,天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時)
,,品質情報,均質番号,,品質情報,均質番号
2018/8/1,晴,8,1,晴,8,1
2018/8/2,晴後薄曇,8,1,晴時々曇,8,1
2018/8/3,晴,8,1,晴,8,1
2018/8/4,晴,8,1,晴,8,1
2018/8/5,晴,8,1,晴一時曇,8,1
2018/8/6,晴時々曇一時雨,8,1,晴一時曇,8,1
2018/8/7,晴後時々曇,8,1,曇一時晴,8,1
2018/8/8,曇時々雨,8,1,曇時々雨,8,1
2018/8/9,曇時々雨,8,1,曇時々雨,8,1
2018/8/10,曇時々雨,8,1,晴後時々曇,8,1
2018/8/11,晴一時曇,8,1,晴,8,1
2018/8/12,晴一時曇、雷を伴う,8,1,曇一時晴,8,1
2018/8/13,曇時々晴,8,1,晴一時曇,8,1
2018/8/14,薄曇、雷を伴う,8,1,晴一時薄曇、雷を伴う,8,1
2018/8/15,曇後時々雨,8,1,曇一時雨,8,1
2018/8/16,曇時々雨、雷を伴う,8,1,晴時々曇一時雨,8,1
2018/8/17,晴後時々薄曇,8,1,晴時々薄曇,8,1
2018/8/18,晴時々薄曇,8,1,薄曇後晴,8,1
2018/8/19,薄曇一時晴,8,1,薄曇時々晴,8,1
2018/8/20,曇時々晴,8,1,晴,8,1
2018/8/21,晴,8,1,曇時々晴,8,1
2018/8/22,晴後時々薄曇,8,1,晴一時薄曇,8,1
2018/8/23,曇時々晴,8,1,暴風雨時々曇,8,1
2018/8/24,曇後時々晴,8,1,晴後一時曇,8,1
2018/8/25,曇後晴,8,1,晴一時曇,8,1
2018/8/26,晴,8,1,曇時々晴,8,1
2018/8/27,晴時々曇,8,1,曇時々晴一時雨,8,1
2018/8/28,曇時々雨,8,1,曇時々雨後一時晴,8,1
2018/8/29,晴一時曇,8,1,晴,8,1
2018/8/30,薄曇一時晴,8,1,曇時々雨、雷を伴う,8,1
2018/8/31,曇時々雨,8,1,雨時々曇、雷を伴う,8,1
